family	uniprot_acc	merops	refseq_protein	gene	organism	length	protein_existence
S1	O60235	S01.047;	NP_004253.1	TMPRSS11D	Homo sapiens (Human)	418	Evidence at protein level
S1	P03951	S01.213;	NP_000119.1	F11	Homo sapiens (Human)	625	Evidence at protein level
S1	P08519	S01.999;	NP_005568.2	LPA	Homo sapiens (Human)	2040	Evidence at protein level
S1	P49863	S01.146;	NP_002095.1	GZMK	Homo sapiens (Human)	264	Evidence at protein level
S1	Q04756	S01.228;	NP_001284368.1	HGFAC	Homo sapiens (Human)	655	Evidence at protein level
S1	Q14520	S01.033;	NP_001171131.1	HABP2	Homo sapiens (Human)	560	Evidence at protein level
S1	Q7Z410	S01.969;	NP_892018.1	TMPRSS9	Homo sapiens (Human)	1059	Evidence at protein level
S1	Q9NZP8	S01.189;	NP_001284569.1	C1RL	Homo sapiens (Human)	487	Evidence at protein level
S1	Q9UKR0	S01.020;	NP_001357054.1	KLK12	Homo sapiens (Human)	248	Evidence at protein level
S1	O00187	S01.229;	NP_006601.2	MASP2	Homo sapiens (Human)	686	Evidence at protein level
S1	O15393	S01.247;	NP_001128571.1	TMPRSS2	Homo sapiens (Human)	492	Evidence at protein level
S1	P00738	S01.972;	NP_001119574.1	HP	Homo sapiens (Human)	406	Evidence at protein level
S1	P00740	S01.214;	NP_000124.1	F9	Homo sapiens (Human)	461	Evidence at protein level
S1	P00750	S01.232;	NP_000921.1	PLAT	Homo sapiens (Human)	562	Evidence at protein level
S1	P00751	S01.196;	NP_001701.2	CFB	Homo sapiens (Human)	764	Evidence at protein level
S1	P08217	S01.155;	NP_254275.1	CELA2A	Homo sapiens (Human)	269	Evidence at protein level
S1	P08218	S01.206;	NP_056933.3	CELA2B	Homo sapiens (Human)	269	Evidence at protein level
S1	P08246	S01.131;	NP_001963.1	ELANE	Homo sapiens (Human)	267	Evidence at protein level
S1	P10323	S01.223;	NP_001088.2	ACR	Homo sapiens (Human)	421	Evidence at protein level
S1	P20160	S01.971;	NP_001691.1	AZU1	Homo sapiens (Human)	251	Evidence at protein level
S1	P23946	S01.140;	NP_001295012.1	CMA1	Homo sapiens (Human)	247	Evidence at protein level
S1	P48740	S01.132;S01.198;	NP_001027019.1	MASP1	Homo sapiens (Human)	699	Evidence at protein level
S1	P49862	S01.300;	NP_001193982.1	KLK7	Homo sapiens (Human)	253	Evidence at protein level
S1	P56730	S01.237;	NP_003610.2	PRSS12	Homo sapiens (Human)	875	Evidence at protein level
S1	P57727	S01.079;	NP_001243246.1	TMPRSS3	Homo sapiens (Human)	454	Evidence at protein level
S1	Q16651	S01.159;	NP_002764.1	PRSS8	Homo sapiens (Human)	343	Evidence at protein level
S1	Q6ZMR5	S01.292;	NP_001107859.1	TMPRSS11A	Homo sapiens (Human)	418	Evidence at protein level
S1	Q92876	S01.236;	NP_001012982.1	KLK6	Homo sapiens (Human)	244	Evidence at protein level
S1	Q99895	S01.157;	NP_009203.2	CTRC	Homo sapiens (Human)	268	Evidence at protein level
S1	Q9GZN4	S01.252;	NP_071402.1	PRSS22	Homo sapiens (Human)	317	Evidence at protein level
S1	Q9NRS4	S01.034;	NP_001077416.2	TMPRSS4	Homo sapiens (Human)	437	Evidence at protein level
S1	Q9UNI1	S01.153;	NP_001962.3	CELA1	Homo sapiens (Human)	258	Evidence at protein level
S1	Q9Y337	S01.017;	NP_001070959.1	KLK5	Homo sapiens (Human)	293	Evidence at protein level
S1	Q9Y5Q5	S01.019;	NP_001265514.1	CORIN	Homo sapiens (Human)	1042	Evidence at protein level
S1	O60259	S01.244;	NP_001268360.1	KLK8	Homo sapiens (Human)	260	Evidence at protein level
S1	P04070	S01.218;	NP_000303.1	PROC	Homo sapiens (Human)	461	Evidence at protein level
S1	P05156	S01.199;	NP_000195.3	CFI	Homo sapiens (Human)	583	Evidence at protein level
S1	P07477	S01.127;	NP_002760.1	PRSS1	Homo sapiens (Human)	247	Evidence at protein level
S1	P08709	S01.215;	NP_000122.1	F7	Homo sapiens (Human)	466	Evidence at protein level
S1	P09871	S01.193;	NP_001333779.1	C1S	Homo sapiens (Human)	688	Evidence at protein level
S1	P0CW18	S01.514;	NP_001182058.1	PRSS56	Homo sapiens (Human)	603	Evidence at protein level
S1	P20231	S01.015;S01.143;	NP_077078.5	TPSB2	Homo sapiens (Human)	275	Evidence at protein level
S1	P24158	S01.134;	NP_002768.3	PRTN3	Homo sapiens (Human)	256	Evidence at protein level
S1	P35030	S01.174;	NP_001184026.3	PRSS3	Homo sapiens (Human)	304	Evidence at protein level
S1	P98073	S01.156;	NP_001414986.1	TMPRSS15	Homo sapiens (Human)	1019	Evidence at protein level
S1	Q15661	S01.015;S01.143;	NP_003285.2	TPSAB1	Homo sapiens (Human)	275	Evidence at protein level
S1	Q9BZJ3	S01.054;	NP_036349.1	TPSD1	Homo sapiens (Human)	242	Evidence at protein level
S1	A4D1T9	S01.989;	NP_001008271.2	PRSS37	Homo sapiens (Human)	235	Evidence at protein level
S1	O43240	C06.001;S01.246;	NP_001070968.1	KLK10	Homo sapiens (Human)	276	Evidence at protein level
S1	P00739	S01.974;	NP_066275.3	HPR	Homo sapiens (Human)	348	Evidence at protein level
S1	P00742	S01.216;	NP_000495.1	F10	Homo sapiens (Human)	488	Evidence at protein level
S1	P00746	S01.191;	NP_001304264.1	CFD	Homo sapiens (Human)	253	Evidence at protein level
S1	P00747	S01.233;	NP_000292.1	PLG	Homo sapiens (Human)	810	Evidence at protein level
S1	P00748	S01.211;	NP_000496.2	F12	Homo sapiens (Human)	615	Evidence at protein level
S1	P00749	S01.231;	NP_001138503.2	PLAU	Homo sapiens (Human)	431	Evidence at protein level
S1	P06681	S01.194;	NP_000054.2	C2	Homo sapiens (Human)	752	Evidence at protein level
S1	P06870	S01.160;	NP_002248.1	KLK1	Homo sapiens (Human)	262	Evidence at protein level
S1	P08311	S01.133;	NP_001902.1	CTSG	Homo sapiens (Human)	255	Evidence at protein level
S1	P10144	S01.010;	NP_004122.2	GZMB	Homo sapiens (Human)	247	Evidence at protein level
S1	P12544	S01.135;	NP_006135.2	GZMA	Homo sapiens (Human)	262	Evidence at protein level
S1	P14210	S01.976;	NP_000592.3	HGF	Homo sapiens (Human)	728	Evidence at protein level
S1	P20151	S01.161;	NP_001002231.1	KLK2	Homo sapiens (Human)	261	Evidence at protein level
S1	P22891	S01.979;	NP_001243063.1	PROZ	Homo sapiens (Human)	400	Evidence at protein level
S1	P51124	S01.139;	NP_001245280.2	GZMM	Homo sapiens (Human)	257	Evidence at protein level
S1	Q6UWB4	S01.299;	NP_001183949.1	PRSS55	Homo sapiens (Human)	352	Evidence at protein level
S1	Q6UWY2	S01.319;	NP_999875.2	PRSS57	Homo sapiens (Human)	283	Evidence at protein level
S1	Q8IU80	S01.308;	NP_001275929.1	TMPRSS6	Homo sapiens (Human)	811	Evidence at protein level
S1	Q9H3S3	S01.313;	NP_001275678.1	TMPRSS5	Homo sapiens (Human)	457	Evidence at protein level
S1	Q9UBX7	S01.257;	NP_001129504.1	KLK11	Homo sapiens (Human)	282	Evidence at protein level
S1	Q9UL52	S01.021;	NP_054777.2	TMPRSS11E	Homo sapiens (Human)	423	Evidence at protein level
S1	Q9Y5K2	S01.251;	NP_001289890.1	KLK4	Homo sapiens (Human)	254	Evidence at protein level
S1	P00734	S01.217;	NP_000497.1	F2	Homo sapiens (Human)	622	Evidence at protein level
S1	P00736	S01.192;	NP_001724.4	C1R	Homo sapiens (Human)	705	Evidence at protein level
S1	P03952	S01.212;	NP_000883.2	KLKB1	Homo sapiens (Human)	638	Evidence at protein level
S1	P05981	S01.224;	NP_001362370.1	HPN	Homo sapiens (Human)	417	Evidence at protein level
S1	P07288	S01.162;	NP_001025218.1	KLK3	Homo sapiens (Human)	261	Evidence at protein level
S1	P07478	S01.258;	NP_002761.1	PRSS2	Homo sapiens (Human)	247	Evidence at protein level
S1	P08861	S01.205;	NP_031378.1	CELA3B	Homo sapiens (Human)	270	Evidence at protein level
S1	P20718	S01.147;	NP_001257710.1	GZMH	Homo sapiens (Human)	246	Evidence at protein level
S1	P26927	S01.975;	NP_066278.3	MST1	Homo sapiens (Human)	711	Evidence at protein level
S1	Q5K4E3	S01.414;S01.940;S01.941;	NP_001245219.1	PRSS36	Homo sapiens (Human)	855	Evidence at protein level
S1	Q7RTZ1	S01.320;		OVCH2	Homo sapiens (Human)	564	Evidence at protein level
S1	Q86T26	S01.365;	NP_872308.2	TMPRSS11B	Homo sapiens (Human)	416	Evidence at protein level
S1	Q86WS5	S01.291;	NP_872365.2	TMPRSS12	Homo sapiens (Human)	348	Evidence at protein level
S1	Q9BYE2	S01.087;	NP_001070731.1	TMPRSS13	Homo sapiens (Human)	586	Evidence at protein level
S1	Q9H2R5	S01.081;	NP_001264010.1	KLK15	Homo sapiens (Human)	256	Evidence at protein level
S1	Q9NRR2	S01.028;	NP_036599.4	TPSG1	Homo sapiens (Human)	321	Evidence at protein level
S1	Q9P0G3	S01.029;	NP_001298111.2	KLK14	Homo sapiens (Human)	251	Evidence at protein level
S1	Q9UI38	S01.993;	NP_037402.1	PRSS50	Homo sapiens (Human)	385	Evidence at protein level
S1	Q9Y5Y6	S01.302;	NP_068813.1	ST14	Homo sapiens (Human)	855	Evidence at protein level
S1	Q9Y6M0	S01.011;	NP_001257381.1	PRSS21	Homo sapiens (Human)	314	Evidence at protein level
S1	A0A126GUP6	S01.B31;	NP_001138002.1	MP1	Drosophila melanogaster (Fruit fly)	400	Evidence at protein level
